"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-Transport 2.1","Transport_NDC_Conv","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5169.3046,5514.7725,7346.0601,12141.5914,14555.4914,15361.9678,15920.1477,15677.5825,14860.4442,15275.9049,15140.909,15123.1263,"",15139.034,"",15463.9763,"",15712.8387,"",15455.5732
"IMAGE 3.0","EN_NPi2020_800","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.726987838745,4483.416080474854,5451.744079589844,6574.962139129639,6926.165103912354,6569.793224334717,6352.70881652832,6319.128036499023,"",6416.524887084961,"",9893.062591552734,"",13650.36964416504,"",17876.64031982422,"",22065.9008026123
"IMAGE 3.0","EN_NPi2020_1000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.726987838745,4483.413219451904,5451.686859130858,6640.645980834961,7578.566074371338,8345.670700073242,9511.691093444824,11086.44008636475,"",13351.63021087646,"",14967.8897857666,"",16213.02032470703,"",17954.82063293457,"",19311.80000305176
"AIM/CGE 2.2","EN_INDCi2030_1200f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4242.2266,4546.0685,4791.3881,4990.8308,5146.9833,5342.4232,5553.6467,5745.2322,5936.5615,6111.4014,6279.6184,6440.0692,6591.2027
"IMAGE 3.0","EN_NPi2020_600f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.430862426758,5468.483924865724,6345.87287902832,6734.125137329102,6692.112922668457,6510.416984558105,6478.332996368408,"",6771.039009094238,"",7598.371982574463,"",8797.342300415039,"",10210.72959899902,"",11683.25042724609
"IMAGE 3.2","SSP2_SPA2_26I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.554061889648,5859.10177230835,2529.573917388916,7729.948043823242,8635.647773742676,9479.263305664062,10301.15985870361,11682.51991271973,13654.15000915527,15625.2498626709,17525.40969848633,19304.15916442871,20945.31059265137,22369.38095092773,23418.0908203125,23915.06958007812,23846.26960754395,23439.21089172364,23003.13949584961
"IMAGE 3.2","SSP2_SPA2_34I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.567956924438,7297.401905059814,7500.3662109375,7448.983192443848,7030.38215637207,6956.614971160889,7068.767070770264,6990.172863006592,6870.776176452637,6876.979827880859,7022.994041442871,7248.836994171143,7512.714862823486,7785.150051116943,8053.173065185547,8310.091018676758,8533.536911010742
"IMAGE 3.0","CO_NDCplus","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.770076751709,3849.478006362915,4491.002082824707,5432.796001434326,6750.317096710205,8305.539131164549,9861.67335510254,11389.5902633667,12901.45015716553,"",15907.89031982422,"",18983.44993591309,"",21932.18040466309,"",25375.56076049805,"",28928.3504486084
"AIM/CGE 2.2","EN_NPi2020_900f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3334.8939,3660.4211,4000.2786,4296.1429,4564.1944,4779.0574,4963.8471,5142.7316,5352.1833,5555.398,5744.3858,5932.8961,6101.443,6266.6627,6432.2266,6587.0665
"REMIND-Transport 2.1","Transport_Budg1100_ConvSyn","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5169.3046,5514.7725,7348.2032,11559.2474,12509.5515,12043.7355,10538.5931,10443.6745,10235.5028,9740.4605,9181.3411,8987.1284,"",8854.5052,"",9204.5236,"",9378.6151,"",9721.6
